StaphA,StaphB,StaphC,StaphD,Sample,Timepoint
0.024,0.022,0.065,0.037,Control,0
0.033,0.034,0.067,0.038,Control,0
0.034,0.038,0.066,0.037,Phage1,0
0.035,0.034,0.07,0.038,Phage1,0
0.035,0.034,0.072,0.022,Phage2,0
0.039,0.055,0.062,0.031,Phage2,0
0.048,0.044,0.13,0.074,Control,1
0.066,0.068,0.134,0.076,Control,1
0.0442,0.0494,0.0858,0.0481,Phage1,1
0.0455,0.0442,0.091,0.0494,Phage1,1
0.03675,0.0357,0.0756,0.0231,Phage2,1
0.04095,0.05775,0.0651,0.03255,Phage2,1
0.096,0.088,0.26,0.148,Control,2
0.132,0.136,0.268,0.152,Control,2
0.06188,0.06916,0.12012,0.06734,Phage1,2
0.0637,0.06188,0.1274,0.06916,Phage1,2
0.037485,0.036414,0.077112,0.023562,Phage2,2
0.041769,0.058905,0.066402,0.033201,Phage2,2
